Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,100.119,98.0,100.0,95.9167,98.0,102.5,102.9167,95.9524,100.0,101.7544,99.1597,108.3333,99.7909
IndoGPT,Single,132.25,94.5714,100.0,118.9167,101.3333,102.9167,98.494,97.3214,97.8947,101.7544,97.9832,103.3333,104.9175
LSTM,All,100.9048,101.0714,95.8333,98.5833,103.3333,99.2857,103.4524,98.75,101.0526,100.2632,100.7843,100.0,100.3187
IndoGPT,All,96.9881,95.0,103.0,101.0833,96.5556,100.6667,101.2857,94.5357,105.0877,94.0351,98.1793,108.3333,99.0606
