Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,99.1667,96.6667,97.5,95.0833,98.3333,101.0,100.0,94.2857,98.9474,105.7018,97.6471,100.0,98.7516
IndoGPT,Single,111.869,98.0,98.3333,105.9167,100.8333,118.75,99.994,96.4881,99.6491,101.7544,97.9832,113.75,103.5947
LSTM,All,101.6667,96.0,107.5,113.75,102.5,104.1667,98.3333,94.25,100.7018,101.2657,100.9244,101.25,101.9123
IndoGPT,All,96.9881,95.0,103.0,101.0833,96.5556,100.6667,101.2857,94.5357,105.0877,94.0351,98.1793,108.3333,99.0606
