Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,96.6667,100.0,100.0,98.5833,100.0,99.25,101.5,98.75,98.9474,99.1228,101.9608,108.3333,99.6032
IndoGPT,Single,100.9167,100.0,111.6667,107.9167,100.0,98.8333,95.875,94.9405,97.4123,95.0877,100.0,100.0,99.7027
LSTM,All,99.4048,97.5,100.0,98.0,96.3333,96.9167,96.3333,97.0833,99.2105,96.8797,98.8235,106.25,98.0096
IndoGPT,All,99.8214,100.0,103.3333,108.5417,100.2222,100.6667,103.375,97.3333,109.6491,100.8772,97.8431,108.3333,102.2592
