Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,45.3645,43.3954,41.6084,47.2544,43.8096,42.2652,43.8646,40.0932,44.6368,47.9444,43.8527,46.7585,44.2145
IndoGPT,Single,51.4446,42.9686,45.9766,48.0397,43.5865,51.801,44.8084,49.7983,50.1139,51.3286,49.7542,54.5346,48.8599
LSTM,All,51.3562,52.6454,50.3696,54.7854,53.0981,50.372,52.6836,51.6068,52.0975,51.9,52.3259,45.1818,51.9758
IndoGPT,All,51.0441,49.8955,49.6792,51.9521,50.1307,48.3513,48.411,49.0857,46.8681,53.5768,49.7631,44.1846,49.7625
