Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,73.1763,72.723,72.4228,76.3911,76.1458,75.561,76.6472,75.9258,75.2913,73.5564,80.7038,83.4326,75.6653
IndoGPT,Single,74.4871,80.0865,94.5446,80.4264,81.0386,78.4388,77.3508,74.0824,75.9028,74.8622,75.2092,73.9088,77.7309
LSTM,All,74.8834,73.4683,75.2256,74.8789,73.1234,74.1187,73.1098,73.4189,77.7201,73.63,74.3684,79.4974,74.52
IndoGPT,All,72.6264,69.791,78.5516,77.5785,72.4055,76.0558,75.0886,72.3638,76.1184,72.2043,70.8275,73.6028,74.0654
