Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,42.588,43.1997,48.1573,46.8768,44.6319,42.098,44.5565,41.6467,42.8319,43.5991,48.0669,49.712,44.3036
IndoGPT,Single,47.5865,44.9331,55.516,49.6645,48.2764,46.4006,51.4814,49.8006,52.0274,46.0454,52.2946,49.1043,49.3901
LSTM,All,46.7612,45.1942,48.8096,48.8246,43.081,44.1643,49.0999,45.7884,48.4455,48.1114,45.6904,46.0809,46.8744
IndoGPT,All,55.521,52.3998,51.997,54.2151,54.7113,52.0159,52.9144,52.9646,53.6547,53.607,54.1119,53.1696,53.5146
