Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,44.3182,38.2453,41.8916,46.592,43.8563,40.9639,44.4439,42.532,44.0028,47.3066,45.345,48.2461,43.9982
IndoGPT,Single,49.4881,46.3335,44.7296,44.9993,47.0262,46.6883,47.2859,48.2681,49.549,49.7939,47.7922,51.7185,47.7373
LSTM,All,51.3562,52.6454,50.3696,54.7854,53.0981,50.372,52.6836,51.6068,52.0975,51.9,52.3259,45.1818,51.9758
IndoGPT,All,49.9458,49.2673,49.0204,49.2906,48.4212,46.3032,46.8463,50.9377,46.5205,47.5885,50.2082,48.0032,48.5036
