Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,77.6793,76.944,77.6176,75.4545,75.9556,77.3263,78.9733,74.5139,80.5646,75.2712,78.1985,85.1604,77.3281
IndoGPT,Single,87.7171,78.4477,74.7456,80.2511,74.7797,79.5021,72.8062,72.4702,75.4334,75.7538,77.2513,82.6389,77.5188
LSTM,All,76.4449,73.5754,72.2352,73.1578,74.031,76.2211,77.7345,72.6032,74.5913,75.602,73.0007,71.3335,74.612
IndoGPT,All,74.1153,70.2708,80.8467,75.5702,72.6871,74.5613,74.2522,71.345,79.0202,70.4363,73.7568,78.869,74.3066
