Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,76.8076,72.6506,76.7674,75.984,78.0749,77.0432,78.3345,73.3874,77.7507,77.0753,75.6148,77.5256,76.4196
IndoGPT,Single,76.4745,78.3908,72.4532,76.9184,74.2505,91.6032,74.406,70.8243,72.2037,75.9891,73.7744,82.3,76.4788
LSTM,All,75.5622,75.5066,80.6789,84.284,74.1315,76.7655,73.3556,71.2251,74.1591,74.0902,74.7761,71.937,75.6756
IndoGPT,All,74.1153,70.2708,80.8467,75.5702,72.6871,74.5613,74.2522,71.345,79.0202,70.4363,73.7568,78.869,74.3066
