Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,42.3396,42.2292,46.8257,46.9056,42.7742,45.1554,44.1218,44.4566,40.8716,46.1878,44.9757,47.1839,44.3668
IndoGPT,Single,37.6304,45.8332,55.1327,48.2242,46.7476,47.406,47.0682,49.0539,51.0112,45.9861,51.1934,48.7772,47.4769
LSTM,All,50.3162,46.9264,53.9323,50.7082,41.7175,43.5633,47.9465,45.6181,47.6478,45.7243,48.7832,54.1608,47.6658
IndoGPT,All,55.521,52.3998,51.997,54.2151,54.7113,52.0159,52.9144,52.9646,53.6547,53.607,54.1119,53.1696,53.5146
