Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,77.2763,76.4113,81.6565,77.0896,75.8823,78.7763,77.3053,76.4407,79.0455,75.9374,77.6572,80.7746,77.5937
IndoGPT,Single,71.2098,83.1085,81.4308,85.5202,77.288,76.2628,82.3112,68.0674,75.7801,72.3029,73.7698,71.3624,76.3958
LSTM,All,74.8834,73.4683,75.2256,74.8789,73.1234,74.1187,73.1098,73.4189,77.7201,73.63,74.3684,79.4974,74.52
IndoGPT,All,72.5891,73.055,82.1308,73.274,75.8303,77.2978,77.7727,71.1716,81.3968,70.1105,74.1882,77.3066,75.1393
