Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,99.0357,94.3333,100.8333,100.6667,98.8889,99.6667,102.375,101.25,99.1228,98.9474,101.1765,100.0,99.9141
IndoGPT,Single,99.7738,100.0,107.5,117.25,93.5,99.0,100.0,92.4524,98.9474,95.7018,99.0196,93.75,100.1915
LSTM,All,99.4048,97.5,100.0,98.0,96.3333,96.9167,96.3333,97.0833,99.2105,96.8797,98.8235,106.25,98.0096
IndoGPT,All,101.0714,102.0,107.5,102.75,100.2222,104.5,103.5357,96.9167,110.3509,94.7368,101.1765,108.3333,102.2365
