Decoder,Train Data,SUB1,SUB2,SUB3,SUB4,SUB5,SUB6,SUB7,SUB8,SUB9,SUB10,SUB11,SUB12,Rata-rata Global
LSTM,Single,1.5163,5.7196,3.7864,4.2769,2.9376,0.0,3.1022,4.3237,0.9007,1.9534,3.2721,0.0,2.6385
IndoGPT,Single,9.5081,1.1156,3.0657,3.7389,1.8394,1.6667,6.4063,8.0234,7.0882,0.7981,3.6504,4.2785,4.6354
LSTM,All,1.8787,3.4228,4.5596,3.7166,1.947,0.9735,6.7275,7.2687,2.1875,2.4158,3.1063,4.2785,3.5343
IndoGPT,All,7.9024,9.6239,3.4633,6.7317,6.1266,5.4103,7.2984,5.8466,4.1297,8.3267,3.8772,0.0,6.1297
